"","time.Bisphenol.b","Agutlumen.Bisphenol.b","Cgut.Bisphenol.b","Cliver.Bisphenol.b","Cven.Bisphenol.b","Clung.Bisphenol.b","Cart.Bisphenol.b","Crest.Bisphenol.b","Ckidney.Bisphenol.b","Cplasma.Bisphenol.b","Atubules.Bisphenol.b","Ametabolized.Bisphenol.b","AUC.Bisphenol.b","time.Bisphenol.a","Agutlumen.Bisphenol.a","Cgut.Bisphenol.a","Cliver.Bisphenol.a","Cven.Bisphenol.a","Clung.Bisphenol.a","Cart.Bisphenol.a","Crest.Bisphenol.a","Ckidney.Bisphenol.a","Cplasma.Bisphenol.a","Atubules.Bisphenol.a","Ametabolized.Bisphenol.a","AUC.Bisphenol.a"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1e-04,0.001842,1.461e-06,1.5e-08,0,0,0,0,0,0,0,0,0,1e-04,0.001953,1.567e-06,5e-09,0,0,0,0,0,0,0,0,0
"3",0.0104,0.00168,4.632e-05,4.273e-05,1.39e-06,9.49e-07,1.333e-06,4.01e-07,8.582e-06,2.211e-06,1.6e-08,6.531e-06,1e-08,0.0104,0.001782,0.0001016,2.978e-05,3.42e-07,2.868e-06,2.93e-07,7.4e-08,3.62e-06,4.44e-07,6e-09,1.312e-06,2e-09
"4",0.0208,0.001532,5.056e-05,6.742e-05,2.562e-06,1.754e-06,2.531e-06,1.747e-06,1.83e-05,4.076e-06,7.7e-08,2.537e-05,4.3e-08,0.0208,0.001624,0.0001375,7.467e-05,9.71e-07,8.652e-06,9.16e-07,5.29e-07,1.69e-05,1.261e-06,4.1e-08,7.408e-06,1e-08
"5",0.0312,0.001396,5.087e-05,7.574e-05,3.219e-06,2.206e-06,3.2e-06,3.431e-06,2.372e-05,5.121e-06,1.66e-07,4.926e-05,9.2e-08,0.0312,0.001481,0.0001495,0.0001101,1.547e-06,1.403e-05,1.501e-06,1.42e-06,3.212e-05,2.008e-06,1.13e-07,1.825e-05,2.8e-08
"6",0.0416,0.001273,4.998e-05,7.774e-05,3.647e-06,2.5e-06,3.634e-06,5.126e-06,2.715e-05,5.803e-06,2.71e-07,7.468e-05,1.49e-07,0.0416,0.00135,0.000152,0.0001334,1.987e-06,1.817e-05,1.954e-06,2.632e-06,4.483e-05,2.58e-06,2.15e-07,3.248e-05,5.2e-08
"7",0.052,0.00116,4.871e-05,7.74e-05,3.968e-06,2.72e-06,3.958e-06,6.713e-06,2.968e-05,6.313e-06,3.88e-07,0.0001003,2.12e-07,0.052,0.00123,0.00015,0.0001468,2.302e-06,2.114e-05,2.278e-06,4.033e-06,5.426e-05,2.989e-06,3.41e-07,4.882e-05,8.1e-08
"8",0.0624,0.001058,4.734e-05,7.622e-05,4.229e-06,2.899e-06,4.22e-06,8.159e-06,3.171e-05,6.727e-06,5.13e-07,0.0001257,2.8e-07,0.0624,0.001121,0.0001457,0.0001532,2.519e-06,2.319e-05,2.503e-06,5.521e-06,6.09e-05,3.271e-06,4.83e-07,6.627e-05,1.13e-07
"9",0.0728,0.000964,4.599e-05,7.477e-05,4.449e-06,3.05e-06,4.442e-06,9.46e-06,3.342e-05,7.078e-06,6.46e-07,0.0001506,3.51e-07,0.0728,0.001022,0.0001403,0.0001547,2.667e-06,2.459e-05,2.656e-06,7.023e-06,6.546e-05,3.463e-06,6.35e-07,8.417e-05,1.48e-07
"10",0.0832,0.0008787,4.47e-05,7.326e-05,4.639e-06,3.181e-06,4.633e-06,1.062e-05,3.489e-05,7.38e-06,7.85e-07,0.000175,4.27e-07,0.0832,0.0009318,0.0001343,0.0001532,2.765e-06,2.552e-05,2.758e-06,8.49e-06,6.852e-05,3.59e-06,7.95e-07,0.0001021,1.85e-07
"11",0.0936,0.000801,4.348e-05,7.178e-05,4.803e-06,3.293e-06,4.798e-06,1.166e-05,3.616e-05,7.641e-06,9.3e-07,0.0001989,5.05e-07,0.0936,0.0008494,0.0001282,0.0001497,2.828e-06,2.612e-05,2.824e-06,9.892e-06,7.053e-05,3.672e-06,9.6e-07,0.0001196,2.23e-07
"12",0.104,0.0007301,4.233e-05,7.034e-05,4.945e-06,3.39e-06,4.94e-06,1.258e-05,3.726e-05,7.866e-06,1.079e-06,0.0002224,5.86e-07,0.104,0.0007743,0.0001221,0.0001451,2.867e-06,2.649e-05,2.865e-06,1.121e-05,7.18e-05,3.723e-06,1.128e-06,0.0001367,2.61e-07
"13",0.1144,0.0006655,4.125e-05,6.896e-05,5.066e-06,3.474e-06,5.062e-06,1.339e-05,3.82e-05,8.059e-06,1.232e-06,0.0002453,6.68e-07,0.1144,0.0007058,0.0001162,0.0001398,2.89e-06,2.671e-05,2.889e-06,1.244e-05,7.257e-05,3.753e-06,1.298e-06,0.0001533,3e-07
"14",0.1248,0.0006066,4.022e-05,6.764e-05,5.169e-06,3.544e-06,5.165e-06,1.41e-05,3.9e-05,8.223e-06,1.389e-06,0.0002679,7.53e-07,0.1248,0.0006433,0.0001105,0.0001343,2.901e-06,2.682e-05,2.901e-06,1.358e-05,7.299e-05,3.767e-06,1.469e-06,0.0001692,3.39e-07
