Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 2/13/2025; downloaded 3/24/2025.,,
Data was truncated to the first two columns for file size purposes.,,
It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations.,,
,,
CAS Reg No (or other ID),Substance,Used for (Technical Effect)
 879496-95-4, ACAI BERRY EXTRACT, FLAVORING AGENT OR ADJUVANT
 55589-62-3, ACESULFAME POTASSIUM, NON-NUTRITIVE SWEETENER
 105-57-7, ACETAL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 75-07-0, ACETALDEHYDE, FLAVORING AGENT OR ADJUVANT
 64577-91-9," ACETALDEHYDE, BUTYL PHENETHYL ACETAL", FLAVORING AGENT OR ADJUVANT
 63449-64-9, ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL, FLAVORING AGENT OR ADJUVANT
 13002-09-0, ACETALDEHYDE DIISOAMYL ACETAL, FLAVORING AGENT OR ADJUVANT
 5669-09-0, ACETALDEHYDE DI-ISOBUTYLACETAL, FLAVORING AGENT OR ADJUVANT
 28069-74-1, ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL, FLAVORING AGENT OR ADJUVANT
 6986-51-2, ACETALDEHYDE ETHYL ISOBUTYL ACETAL, FLAVORING AGENT OR ADJUVANT
 25334-93-4, (+/-)-ACETALDEHYDE ETHYL ISOPROPYL ACETAL, FLAVORING AGENT OR ADJUVANT
 233665-90-2, ACETALDEHYDE HEXYL ISOAMYL ACETAL, FLAVORING AGENT OR ADJUVANT
 202188-43-0," ACETALDEHYDE 1,3-OCTANEDIOL ACETAL", FLAVORING AGENT OR ADJUVANT
 7493-57-4, ACETALDEHYDE PHENETHYL PROPYL ACETAL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 60-35-5, ACETAMIDE--NLFG, FLAVORING AGENT OR ADJUVANT
 100-06-1, ACETANISOLE, FLAVORING AGENT OR ADJUVANT
 108-24-7, ACETIC ANHYDRIDE, FLAVORING AGENT OR ADJUVANT
 513-86-0, ACETOIN, FLAVORING AGENT OR ADJUVANT
 94089-23-3, ACETOIN PROPYLENEGLYCOL KETAL, FLAVORING AGENT OR ADJUVANT
